filename,v_std,note
B1.pdb,,fill standard volume if blank
B2.pdb,,fill standard volume if blank
B3.pdb,,fill standard volume if blank
B4.pdb,,fill standard volume if blank
B5.pdb,,fill standard volume if blank
B6.pdb,,fill standard volume if blank
B7.pdb,,fill standard volume if blank
B8.pdb,,fill standard volume if blank
B9.pdb,,fill standard volume if blank
B10.pdb,,fill standard volume if blank
B11.pdb,,fill standard volume if blank
B12.pdb,,fill standard volume if blank
B13.pdb,,fill standard volume if blank
A1.pdb,1375.0,fill standard volume if blank
C1.pdb,549.0,fill standard volume if blank
F1.pdb,500.0,fill standard volume if blank
F2.pdb,42572.0,fill standard volume if blank
H1.pdb,259.0,fill standard volume if blank
N1.pdb,484.0,fill standard volume if blank
O1.pdb,142.0,fill standard volume if blank
W1.pdb,400.0,fill standard volume if blank
O2.pdb,20.0,fill standard volume if blank
C13.pdb,,fill standard volume if blank
C14.pdb,,fill standard volume if blank
C16.pdb,,fill standard volume if blank
